,DATE,SP500
294,2019-12-13,3168.8
295,2019-12-16,3191.45
296,2019-12-17,3192.52
297,2019-12-18,3191.14
298,2019-12-19,3205.37
299,2019-12-20,3221.22
300,2019-12-23,3224.01
301,2019-12-24,3223.38
302,2019-12-25,.
303,2019-12-26,3239.91
304,2019-12-27,3240.02
305,2019-12-30,3221.29
306,2019-12-31,3230.78
307,2020-01-01,.
308,2020-01-02,3257.85
309,2020-01-03,3234.85
310,2020-01-06,3246.28
311,2020-01-07,3237.18
312,2020-01-08,3253.05
313,2020-01-09,3274.7
314,2020-01-10,3265.35
315,2020-01-13,3288.13
316,2020-01-14,3283.15
317,2020-01-15,3289.29
318,2020-01-16,3316.81
319,2020-01-17,3329.62
320,2020-01-20,.
321,2020-01-21,3320.79
322,2020-01-22,3321.75
323,2020-01-23,3325.54
324,2020-01-24,3295.47
325,2020-01-27,3243.63
326,2020-01-28,3276.24
327,2020-01-29,3273.4
328,2020-01-30,3283.66
329,2020-01-31,3225.52
330,2020-02-03,3248.92
331,2020-02-04,3297.59
332,2020-02-05,3334.69
333,2020-02-06,3345.78
334,2020-02-07,3327.71
335,2020-02-10,3352.09
336,2020-02-11,3357.75
337,2020-02-12,3379.45
338,2020-02-13,3373.94
339,2020-02-14,3380.16
340,2020-02-17,.
341,2020-02-18,3370.29
342,2020-02-19,3386.15
343,2020-02-20,3373.23
344,2020-02-21,3337.75
345,2020-02-24,3225.89
346,2020-02-25,3128.21
347,2020-02-26,3116.39
348,2020-02-27,2978.76
349,2020-02-28,2954.22
350,2020-03-02,3090.23
351,2020-03-03,3003.37
352,2020-03-04,3130.12
353,2020-03-05,3023.94
354,2020-03-06,2972.37
355,2020-03-09,2746.56
356,2020-03-10,2882.23
357,2020-03-11,2741.38
358,2020-03-12,2480.64
359,2020-03-13,2711.02
360,2020-03-16,2386.13
361,2020-03-17,2529.19
362,2020-03-18,2398.1
363,2020-03-19,2409.39
364,2020-03-20,2304.92
365,2020-03-23,2237.4
366,2020-03-24,2447.33
367,2020-03-25,2475.56
368,2020-03-26,2630.07
369,2020-03-27,2541.47
370,2020-03-30,2626.65
371,2020-03-31,2584.59
372,2020-04-01,2470.5
373,2020-04-02,2526.9
374,2020-04-03,2488.65
375,2020-04-06,2663.68
376,2020-04-07,2659.41
377,2020-04-08,2749.98
378,2020-04-09,2789.82
379,2020-04-10,.
380,2020-04-13,2761.63
381,2020-04-14,2846.06
382,2020-04-15,2783.36
383,2020-04-16,2799.55
384,2020-04-17,2874.56
385,2020-04-20,2823.16
386,2020-04-21,2736.56
387,2020-04-22,2799.31
388,2020-04-23,2797.8
389,2020-04-24,2836.74
390,2020-04-27,2878.48
391,2020-04-28,2863.39
392,2020-04-29,2939.51
393,2020-04-30,2912.43
394,2020-05-01,2830.71
395,2020-05-04,2842.74
396,2020-05-05,2868.44
397,2020-05-06,2848.42
398,2020-05-07,2881.19
399,2020-05-08,2929.8
400,2020-05-11,2930.32
401,2020-05-12,2870.12
402,2020-05-13,2820
403,2020-05-14,2852.5
404,2020-05-15,2863.7
405,2020-05-18,2953.91
406,2020-05-19,2922.94
407,2020-05-20,2971.61
408,2020-05-21,2948.51
409,2020-05-22,2955.45
410,2020-05-25,.
411,2020-05-26,2991.77
412,2020-05-27,3036.13
413,2020-05-28,3029.73
414,2020-05-29,3044.31
415,2020-06-01,3055.73
416,2020-06-02,3080.82
417,2020-06-03,3122.87
418,2020-06-04,3112.35
419,2020-06-05,3193.93
420,2020-06-08,3232.39
421,2020-06-09,3207.18
422,2020-06-10,3190.14
423,2020-06-11,3002.1
424,2020-06-12,3041.31
425,2020-06-15,3066.59
426,2020-06-16,3124.74
427,2020-06-17,3113.49
428,2020-06-18,3115.34
429,2020-06-19,3097.74
430,2020-06-22,3117.86
431,2020-06-23,3131.29
432,2020-06-24,3050.33
433,2020-06-25,3083.76
434,2020-06-26,3009.05
435,2020-06-29,3053.24
436,2020-06-30,3100.29
437,2020-07-01,3115.86
438,2020-07-02,3130.01
439,2020-07-03,.
440,2020-07-06,3179.72
441,2020-07-07,3145.32
442,2020-07-08,3169.94
443,2020-07-09,3152.05
444,2020-07-10,3185.04
445,2020-07-13,3155.22
446,2020-07-14,3197.52
447,2020-07-15,3226.56
448,2020-07-16,3215.57
449,2020-07-17,3224.73
450,2020-07-20,3251.84
451,2020-07-21,3257.3
452,2020-07-22,3276.02
453,2020-07-23,3235.66
454,2020-07-24,3215.63
455,2020-07-27,3239.41
456,2020-07-28,3218.44
457,2020-07-29,3258.44
458,2020-07-30,3246.22
459,2020-07-31,3271.12
460,2020-08-03,3294.61
461,2020-08-04,3306.51
462,2020-08-05,3327.77
463,2020-08-06,3349.16
464,2020-08-07,3351.28
465,2020-08-10,3360.47
466,2020-08-11,3333.69
467,2020-08-12,3380.35
468,2020-08-13,3373.43
469,2020-08-14,3372.85
470,2020-08-17,3381.99
471,2020-08-18,3389.78
472,2020-08-19,3374.85
473,2020-08-20,3385.51
474,2020-08-21,3397.16
475,2020-08-24,3431.28
476,2020-08-25,3443.62
477,2020-08-26,3478.73
478,2020-08-27,3484.55
479,2020-08-28,3508.01
480,2020-08-31,3500.31
481,2020-09-01,3526.65
482,2020-09-02,3580.84
483,2020-09-03,3455.06
484,2020-09-04,3426.96
485,2020-09-07,.
486,2020-09-08,3331.84
