,DATE,SP500,month,number
246,10/8/2019,2893.06,2019-10-08,2893.06
247,10/9/2019,2919.4,2019-10-09,2919.4
248,10/10/2019,2938.13,2019-10-10,2938.13
249,10/11/2019,2970.27,2019-10-11,2970.27
250,10/14/2019,2966.15,2019-10-14,2966.15
251,10/15/2019,2995.68,2019-10-15,2995.68
252,10/16/2019,2989.69,2019-10-16,2989.69
253,10/17/2019,2997.95,2019-10-17,2997.95
254,10/18/2019,2986.2,2019-10-18,2986.2
255,10/21/2019,3006.72,2019-10-21,3006.72
256,10/22/2019,2995.99,2019-10-22,2995.99
257,10/23/2019,3004.52,2019-10-23,3004.52
258,10/24/2019,3010.29,2019-10-24,3010.29
259,10/25/2019,3022.55,2019-10-25,3022.55
260,10/28/2019,3039.42,2019-10-28,3039.42
261,10/29/2019,3036.89,2019-10-29,3036.89
262,10/30/2019,3046.77,2019-10-30,3046.77
263,10/31/2019,3037.56,2019-10-31,3037.56
264,11/1/2019,3066.91,2019-11-01,3066.91
265,11/4/2019,3078.27,2019-11-04,3078.27
266,11/5/2019,3074.62,2019-11-05,3074.62
267,11/6/2019,3076.78,2019-11-06,3076.78
268,11/7/2019,3085.18,2019-11-07,3085.18
269,11/8/2019,3093.08,2019-11-08,3093.08
270,11/11/2019,3087.01,2019-11-11,3087.01
271,11/12/2019,3091.84,2019-11-12,3091.84
272,11/13/2019,3094.04,2019-11-13,3094.04
273,11/14/2019,3096.63,2019-11-14,3096.63
274,11/15/2019,3120.46,2019-11-15,3120.46
275,11/18/2019,3122.03,2019-11-18,3122.03
276,11/19/2019,3120.18,2019-11-19,3120.18
277,11/20/2019,3108.46,2019-11-20,3108.46
278,11/21/2019,3103.54,2019-11-21,3103.54
279,11/22/2019,3110.29,2019-11-22,3110.29
280,11/25/2019,3133.64,2019-11-25,3133.64
281,11/26/2019,3140.52,2019-11-26,3140.52
282,11/27/2019,3153.63,2019-11-27,3153.63
283,11/28/2019,,2019-11-28,
284,11/29/2019,3140.98,2019-11-29,3140.98
285,12/2/2019,3113.87,2019-12-02,3113.87
286,12/3/2019,3093.2,2019-12-03,3093.2
287,12/4/2019,3112.76,2019-12-04,3112.76
288,12/5/2019,3117.43,2019-12-05,3117.43
289,12/6/2019,3145.91,2019-12-06,3145.91
290,12/9/2019,3135.96,2019-12-09,3135.96
291,12/10/2019,3132.52,2019-12-10,3132.52
292,12/11/2019,3141.63,2019-12-11,3141.63
293,12/12/2019,3168.57,2019-12-12,3168.57
294,12/13/2019,3168.8,2019-12-13,3168.8
295,12/16/2019,3191.45,2019-12-16,3191.45
296,12/17/2019,3192.52,2019-12-17,3192.52
297,12/18/2019,3191.14,2019-12-18,3191.14
298,12/19/2019,3205.37,2019-12-19,3205.37
299,12/20/2019,3221.22,2019-12-20,3221.22
300,12/23/2019,3224.01,2019-12-23,3224.01
301,12/24/2019,3223.38,2019-12-24,3223.38
302,12/25/2019,,2019-12-25,
303,12/26/2019,3239.91,2019-12-26,3239.91
304,12/27/2019,3240.02,2019-12-27,3240.02
305,12/30/2019,3221.29,2019-12-30,3221.29
306,12/31/2019,3230.78,2019-12-31,3230.78
307,1/1/2020,,2020-01-01,
308,1/2/2020,3257.85,2020-01-02,3257.85
309,1/3/2020,3234.85,2020-01-03,3234.85
310,1/6/2020,3246.28,2020-01-06,3246.28
311,1/7/2020,3237.18,2020-01-07,3237.18
312,1/8/2020,3253.05,2020-01-08,3253.05
313,1/9/2020,3274.7,2020-01-09,3274.7
314,1/10/2020,3265.35,2020-01-10,3265.35
315,1/13/2020,3288.13,2020-01-13,3288.13
316,1/14/2020,3283.15,2020-01-14,3283.15
317,1/15/2020,3289.29,2020-01-15,3289.29
318,1/16/2020,3316.81,2020-01-16,3316.81
319,1/17/2020,3329.62,2020-01-17,3329.62
320,1/20/2020,,2020-01-20,
321,1/21/2020,3320.79,2020-01-21,3320.79
322,1/22/2020,3321.75,2020-01-22,3321.75
323,1/23/2020,3325.54,2020-01-23,3325.54
324,1/24/2020,3295.47,2020-01-24,3295.47
325,1/27/2020,3243.63,2020-01-27,3243.63
326,1/28/2020,3276.24,2020-01-28,3276.24
327,1/29/2020,3273.4,2020-01-29,3273.4
328,1/30/2020,3283.66,2020-01-30,3283.66
329,1/31/2020,3225.52,2020-01-31,3225.52
330,2/3/2020,3248.92,2020-02-03,3248.92
331,2/4/2020,3297.59,2020-02-04,3297.59
332,2/5/2020,3334.69,2020-02-05,3334.69
333,2/6/2020,3345.78,2020-02-06,3345.78
334,2/7/2020,3327.71,2020-02-07,3327.71
335,2/10/2020,3352.09,2020-02-10,3352.09
336,2/11/2020,3357.75,2020-02-11,3357.75
337,2/12/2020,3379.45,2020-02-12,3379.45
338,2/13/2020,3373.94,2020-02-13,3373.94
339,2/14/2020,3380.16,2020-02-14,3380.16
340,2/17/2020,,2020-02-17,
341,2/18/2020,3370.29,2020-02-18,3370.29
342,2/19/2020,3386.15,2020-02-19,3386.15
343,2/20/2020,3373.23,2020-02-20,3373.23
344,2/21/2020,3337.75,2020-02-21,3337.75
345,2/24/2020,3225.89,2020-02-24,3225.89
346,2/25/2020,3128.21,2020-02-25,3128.21
347,2/26/2020,3116.39,2020-02-26,3116.39
348,2/27/2020,2978.76,2020-02-27,2978.76
349,2/28/2020,2954.22,2020-02-28,2954.22
350,3/2/2020,3090.23,2020-03-02,3090.23
351,3/3/2020,3003.37,2020-03-03,3003.37
352,3/4/2020,3130.12,2020-03-04,3130.12
353,3/5/2020,3023.94,2020-03-05,3023.94
354,3/6/2020,2972.37,2020-03-06,2972.37
355,3/9/2020,2746.56,2020-03-09,2746.56
356,3/10/2020,2882.23,2020-03-10,2882.23
357,3/11/2020,2741.38,2020-03-11,2741.38
358,3/12/2020,2480.64,2020-03-12,2480.64
